cik,fyear,company_name,tic,status_label,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses,status
2589,2001.0,AERO SYSTEMS ENGINEERING INC,AERS.,alive,11.243,15.857,19.353,1.61,1.063,1.206,2.269,7.83,6.098,9.375,0.271,3.092,4.73,27.183000000000003,12.2816,10.985,27.183000000000003,24.914,0
2589,2002.0,AERO SYSTEMS ENGINEERING INC,AERS.,alive,18.81,22.931,30.453000000000003,1.582,1.0590000000000002,3.06,4.119,10.404000000000002,7.565,13.739,2.36,5.4510000000000005,6.672000000000001,40.857,22.4502,15.699000000000002,40.857,36.738,0
1004981,2004.0,IDNA INC,IDAI,alive,4.178999999999999,28.089,5.566,11.475,1.33,-2.951,-1.621,5.777,0.0,6.037000000000001,-3.164,-143.38299999999998,2.958,11.343,3.201,17.512,11.343,12.964,0
1004981,2005.0,IDNA INC,IDAI,alive,3.735,28.847,6.676,12.941,1.411,-2.531,-1.12,7.414,0.247,6.334,-0.501,-144.034,2.045,14.09,3.3437,19.275,14.09,15.21,0
1004981,2006.0,IDNA INC,IDAI,alive,3.15,22.078000000000003,7.495,13.896,1.652,-3.89,-2.238,7.949,0.2319999999999999,5.437,-7.58,-151.69899999999998,1.815,15.444,8.0137,19.333,15.444,17.682000000000002,0
1004981,2007.0,IDNA INC,IDAI,alive,3.908,13.553,7.695,16.198,1.636,-4.111000000000001,-2.475,6.922000000000001,0.165,6.001,-11.813,-164.076,1.472,14.617,1.4015,22.199,14.617,17.092,0
3000,1999.0,AIRBORNE INC,ABF,alive,470.07,1643.25,2454.728,314.707,209.39,160.047,369.437,685.498,44.263000000000005,289.842,91.201,547.88,339.04400000000004,3140.226,1071.07,785.043,3140.226,2770.789,0
3000,2000.0,AIRBORNE INC,ABF,alive,373.549,1745.919,2686.265,322.23,206.406,42.618,249.024,589.685,43.231,335.797,28.492,567.564,240.28,3275.95,468.3413,883.064,3275.95,3026.926,0
3000,2001.0,AIRBORNE INC,ABF,alive,451.707,1746.844,2672.13,218.053,208.355,-22.431,185.924,538.9590000000001,38.413,470.73800000000006,-19.458,537.724,153.201,3211.0890000000004,713.8421,912.628,3211.0890000000004,3025.165,0
3000,2002.0,AIRBORNE INC,ABF,alive,646.811,1879.086,2729.591,370.091,188.356,63.987,252.343,614.145,36.223,403.381,14.843,538.55,170.507,3343.736,718.1131,1039.923,3343.736,3091.393,0
1368457,2007.0,ALBERTO-CULVER CO,ACV.1,alive,857.538,1487.56,710.3,2.077,28.824,143.447,172.271,831.2810000000001,189.137,416.05,78.264,592.011,289.077,1541.581,2430.833,503.789,1541.581,1369.31,0
1368457,2008.0,ALBERTO-CULVER CO,ACV.1,alive,880.38,1464.19,681.377,0.6829999999999999,22.498,168.52599999999998,191.024,762.079,149.512,282.0,228.154,665.355,244.316,1443.456,2665.7881,347.8590000000001,1443.456,1252.432,0
1368457,2009.0,ALBERTO-CULVER CO,ACV.1,alive,865.628,1558.014,675.5369999999999,0.429,23.241,192.874,216.115,758.443,126.777,275.824,119.374,733.757,228.979,1433.98,2719.8922,356.592,1433.98,1217.865,0
1368457,2010.0,ALBERTO-CULVER CO,ACV.1,alive,804.1039999999999,1878.275,734.5010000000001,150.241,26.658,235.342,262.0,863.9630000000001,171.30599999999998,283.42400000000004,155.31,832.605,283.183,1598.464,3720.1965,551.035,1598.464,1336.464,0
3333,2002.0,ALBERTSON'S INC,ABS.1,alive,4268.0,15211.0,24275.0,5257.0,966.0,1789.0,2755.0,11351.0,2973.0,3448.0,485.0,4697.0,647.0,35626.0,7998.0,10014.0,35626.0,32871.0,0
3333,2003.0,ALBERTSON'S INC,ABS.1,alive,4419.0,15394.0,24337.0,4804.0,969.0,1272.0,2241.0,11099.0,3035.0,3685.0,556.0,4858.0,683.0,35436.0,8596.48,10013.0,35436.0,33195.0,0
3333,2004.0,ALBERTSON'S INC,ABS.1,alive,4295.0,18311.0,27610.0,6649.0,1101.0,1518.0,2619.0,12287.0,3119.0,4085.0,444.0,4987.0,675.0,39897.0,8419.84,12890.0,39897.0,37278.0,0
3333,2005.0,ALBERTSON'S INC,ABS.1,alive,4355.0,17871.0,27891.0,6278.0,1147.0,1238.0,2385.0,12467.0,3036.0,3880.0,446.0,5215.0,723.0,40358.0,9305.5,12164.0,40358.0,37973.0,0
4285,2003.0,ALCAN INC,AL.1,alive,9231.0,31957.0,10802.0,7604.0,923.0,1029.0,1952.0,2838.0,4108.0,7544.0,167.0,4049.0,4039.0,13640.0,17145.248,20718.0,13640.0,11688.0,0
4285,2004.0,ALCAN INC,AL.1,alive,9412.0,33341.0,20203.0,6345.0,1337.0,1494.0,2831.0,4682.0,4029.0,9256.0,258.0,3819.0,4168.0,24885.0,18141.3672,22379.0,24885.0,22054.0,0
4285,2005.0,ALCAN INC,AL.1,alive,6438.0,26638.0,16129.0,5265.0,1080.0,1482.0,2562.0,4191.0,2734.0,5845.0,129.0,2651.0,3254.0,20320.0,15230.165,16927.0,20320.0,17758.0,0
4285,2006.0,ALCAN INC,AL.1,alive,7677.0,28939.0,17990.0,5476.0,1043.0,2913.0,3956.0,5651.0,3186.0,5979.0,1786.0,4058.0,4105.0,23641.0,17874.3227,17774.0,23641.0,19685.0,0
708484,1999.0,ALCIDE CORP,ALCD.,alive,6.372999999999999,14.53,7.444,0.0,0.062,-0.95,-0.888,4.996,1.853,0.971,-0.447,0.585,2.486,12.44,32.76,1.129,12.44,13.328,0
708484,2000.0,ALCIDE CORP,ALCD.,alive,8.161,19.003,6.979,0.0,1.939,2.213,4.152,10.979,2.4930000000000003,2.802,1.538,2.122,2.628,17.958,78.81,2.802,17.958,13.806,0
708484,2001.0,ALCIDE CORP,ALCD.,alive,9.019,21.865,8.817,0.0,2.742,2.588,5.33,13.172,2.476,3.37,1.781,3.903,2.849,21.989,58.41,3.491,21.989,16.659000000000002,0
708484,2002.0,ALCIDE CORP,ALCD.,alive,9.812,21.369,8.342,0.0,3.673,1.735,5.408,13.582,2.9810000000000003,1.3030000000000002,1.13,5.033,3.832,21.924,28.7775,1.877,21.924,16.516,0
3370,2004.0,IKON OFFICE SOLUTIONS,IKN,alive,2065.246,4518.413,2824.44,1164.725,92.368,211.11,303.478,1789.111,233.345,1275.341,83.694,744.0419999999999,1186.249,4613.551,1715.9632,2830.695,4613.551,4310.073,0
3370,2005.0,IKON OFFICE SOLUTIONS,IKN,alive,1727.914,3831.819,2745.0640000000003,953.463,80.563,169.12099999999998,249.68400000000003,1632.241,241.47,937.34,60.666,690.438,996.241,4377.305,1354.785,2261.475,4377.305,4127.621,0
3370,2006.0,IKON OFFICE SOLUTIONS,IKN,alive,1379.5739999999998,3231.699,2713.101,657.5830000000001,73.37,189.93,263.3,1515.148,214.792,757.7,106.202,887.424,669.297,4228.249,1732.8058,1545.566,4228.249,3964.949,0
3370,2007.0,IKON OFFICE SOLUTIONS,IKN,alive,1364.2879999999998,3278.081,2716.446,757.533,68.719,202.853,271.572,1451.898,287.503,681.523,114.487,1049.956,644.2959999999999,4168.344,1510.7745,1567.267,4168.344,3896.772,0
354767,2002.0,CAPCO ENERGY INC,CGYNQ,failed,0.322,26.059,0.7340000000000001,0.089,0.207,-1.122,-0.915,0.611,0.0,2.591,-1.852,3.655,0.1,1.345,4.819,20.567,1.345,2.26,1
354767,2003.0,CAPCO ENERGY INC,CGYNQ,failed,0.706,16.47,1.53,3.023,0.615,0.131,0.746,1.618,0.0,2.371,-1.948,1.477,0.4529999999999999,3.148,11.3732,12.595,3.148,2.402,1
354767,2004.0,CAPCO ENERGY INC,CGYNQ,failed,3.833,18.1,2.987,2.031,0.809,0.193,1.002,2.268,0.0,3.903,0.725,2.202,1.463,5.255,17.9561,12.861,5.255,4.253,1
354767,2005.0,CAPCO ENERGY INC,CGYNQ,failed,1.6769999999999998,30.881,3.088,2.144,1.339,-2.983,-1.644,0.484,0.0,4.329,-3.613,-1.411,0.6709999999999999,3.572,26.6986,11.572,3.572,5.216,1
3673,2007.0,ALLEGHENY ENERGY INC,AYE,alive,1314.9589999999998,9906.589,2212.718,3982.712,277.014,817.288,1094.302,1094.302,175.581,787.503,412.914,403.945,349.48800000000006,3307.02,10637.1186,7357.996,3307.02,2212.718,0
3673,2008.0,ALLEGHENY ENERGY INC,AYE,alive,1495.7220000000002,10811.048,2302.499,4155.432,273.91200000000003,809.505,1083.417,1083.417,243.345,1003.5,395.447,688.297,359.16900000000004,3385.916,5734.665,7955.394,3385.916,2302.499,0
3673,2009.0,ALLEGHENY ENERGY INC,AYE,alive,1345.3,11589.1,2224.9,4417.0,282.1,919.8,1201.9,1201.9,317.0,985.6,392.8,932.8,355.0,3426.8,3981.5036,8461.0,3426.8,2224.9,0
3673,2010.0,ALLEGHENY ENERGY INC,AYE,alive,1515.6,12075.8,2652.6,4686.0,323.5,926.8,1250.3,1250.3,259.7,790.9,411.7,1243.3,408.0,3902.9,4120.1455,8634.1,3902.9,2652.6,0
3721,1999.0,ALLEN TELECOM INC,ALN.2,alive,204.15,451.43,216.505,120.905,21.934,11.675,33.609,117.192,82.713,76.08800000000001,-2.855,46.32899999999999,87.39399999999999,333.69699999999995,322.3856,209.955,333.69699999999995,300.088,0
3721,2000.0,ALLEN TELECOM INC,ALN.2,alive,217.125,473.022,264.207,134.639,21.175,27.372,48.547,128.401,101.64,84.494,12.053,37.119,93.815,392.608,502.6446,237.924,392.608,344.061,0
3721,2001.0,ALLEN TELECOM INC,ALN.2,alive,257.93,511.956,282.032,140.53,21.214,9.801,31.015,112.569,124.026,95.133,-1.823,39.005,112.46,394.601,258.6125,253.312,394.601,363.586,0
3721,2002.0,ALLEN TELECOM INC,ALN.2,alive,282.926,530.038,301.682,64.084,11.992,20.607,32.599000000000004,115.293,100.474,118.072,3.395,54.07899999999999,125.842,416.975,289.3464,205.329,416.975,384.376,0
3753,2001.0,ALLEN ORGAN CO  -CL B,AORGB,alive,45.547,66.472,37.036,0.0,2.975,-3.337,-0.362,23.455,16.487000000000002,7.701,-4.084,53.863,9.948,60.49100000000001,33.7746,10.157,60.49100000000001,60.853,0
3753,2002.0,ALLEN ORGAN CO  -CL B,AORGB,alive,52.573,73.363,39.162,0.0,2.802,3.107,5.909,28.578000000000003,16.224,11.021,2.685,53.807,12.184,67.74,42.4192,17.057000000000002,67.74,61.831,0
3753,2003.0,ALLEN ORGAN CO  -CL B,AORGB,alive,51.862,71.95,33.175,0.0,2.519,0.918,3.437,27.613000000000003,13.925999999999998,7.945,1.3969999999999998,54.182,11.652,60.788,48.24,15.585,60.788,57.351000000000006,0
3753,2004.0,ALLEN ORGAN CO  -CL B,AORGB,alive,57.944,78.473,39.172,0.0,2.481,6.145,8.626,40.999,15.619000000000002,11.001,4.709,57.658,10.994000000000002,80.171,73.968,18.543,80.171,71.545,0
3982,2007.0,ALLIS-CHALMERS ENERGY INC,ALY,alive,217.894,1053.585,341.45,508.3,54.981,124.782,179.763,229.517,32.209,97.543,50.44,87.883,130.094,570.967,517.961,639.256,570.967,391.204,0
3982,2008.0,ALLIS-CHALMERS ENERGY INC,ALY,alive,225.238,1111.058,446.235,579.044,67.672,102.254,169.926,229.713,39.087,142.15200000000002,-39.464,48.419,157.871,675.948,196.2125,727.6489999999999,675.948,506.022,0
3982,2009.0,ALLIS-CHALMERS ENERGY INC,ALY,alive,198.248,1080.62,379.437,475.206,82.99799999999999,-5.047,77.95100000000001,126.816,34.528,112.459,-21.19,25.927,105.059,506.253,269.0988,596.9730000000002,506.253,428.302,0
3982,2010.0,ALLIS-CHALMERS ENERGY INC,ALY,alive,219.067,1075.656,498.12,478.225,88.92399999999999,4.089,93.013,161.545,42.14,140.247,-39.512,-16.133,144.96,659.665,522.689,626.945,659.665,566.6519999999999,0
65873,2003.0,ALLTEL CORP,AT.2,alive,1729.1,16661.1,3317.1,5581.2,1247.7,1917.0,3164.7,4662.8,122.1,1492.7,1330.1,5959.1,890.0,7979.9,14562.9575,9637.9,7979.9,4815.2,0
65873,2004.0,ALLTEL CORP,AT.2,alive,1616.8,16603.7,3449.7,5352.4,1299.7,1972.5,3272.2,4796.4,156.8,1460.3,1046.2,6628.2,912.7,8246.1,17761.2677,9474.1,8246.1,4973.9,0
65873,2005.0,ALLTEL CORP,AT.2,alive,4365.4,24013.1,4041.3,5782.9,1482.6,2167.6,3650.2,5445.7,232.6,2404.8,1331.4,7292.3,1077.2,9487.0,24205.5386,10992.1,9487.0,5836.8,0
65873,2006.0,ALLTEL CORP,AT.2,alive,2032.1,18343.7,3519.735,2697.4,1239.9,1369.065,2608.965,4364.265,218.6,1197.3,1129.4,8000.3,807.3,7884.0,22045.3229,5676.0,7884.0,5275.035,0
27425,2000.0,AMCAST INDUSTRIAL CORP,AICOQ,failed,181.919,480.386,498.962,147.273,32.999,22.278,55.277,111.693,77.512,126.926,4.347,85.387,85.041,610.655,100.872,324.432,610.655,555.378,1
27425,2001.0,AMCAST INDUSTRIAL CORP,AICOQ,failed,151.428,458.69,449.608,170.296,33.902,-4.816,29.086,79.765,58.193000000000005,132.74,-37.131,41.5,64.408,529.373,71.618,343.17800000000005,529.373,500.287,1
27425,2002.0,AMCAST INDUSTRIAL CORP,AICOQ,failed,146.916,450.21,490.474,178.64700000000002,36.304,-6.134,30.17,85.686,51.983,136.408,-21.085,15.755,70.941,576.16,27.7856,358.865,576.16,545.99,1
27425,2003.0,AMCAST INDUSTRIAL CORP,AICOQ,failed,70.018,230.324,349.167,175.18400000000003,24.162,13.271,37.433,74.753,19.004,54.886,-109.681,-119.894,39.979,423.92,13.3995,272.259,423.92,386.487,1
5187,2005.0,WYETH,WYE,alive,18044.841,35841.126000000004,4506.627,9231.479,786.873,4688.294,5475.167,14249.163,2333.543,9947.961,3656.298,6449.321,3030.58,18755.79,61888.0884,23846.757,18755.79,13280.623,0
5187,2006.0,WYETH,WYE,alive,17514.241,36478.715,4655.612,9096.743,803.04,5370.348000000001,6173.388000000001,15695.043,2480.459,7221.848000000001,4196.706,8062.033,3383.341,20350.655,68500.13,21825.96,20350.655,14177.267,0
5187,2007.0,WYETH,WYE,alive,22983.598,42717.282,5150.654,11492.881,918.679,6349.028,7267.706999999999,17249.144,3035.358,7324.279,4615.96,10639.039,3528.009,22399.798,59116.7633,24506.747000000007,22399.798,15132.091,0
5187,2008.0,WYETH,WYE,alive,23481.34,44031.724,4997.748,10826.013,1007.574,6946.234,7953.808000000001,17836.16,2996.428,6850.423000000001,4417.833,11246.42,3646.439,22833.908,49946.5905,24857.882,22833.908,14880.1,0
700721,2007.0,AMERICAN MEDICAL ALERT CORP,AMAC,alive,8.672,34.953,13.056,4.726,4.302,2.162,6.464,22.589,0.5529999999999999,5.071000000000001,1.514,8.282,5.682,35.645,65.6532,11.282,35.645,29.181,0
700721,2008.0,AMERICAN MEDICAL ALERT CORP,AMAC,alive,10.054,34.366,14.281,2.815,4.376,3.279,7.655,24.306,0.5479999999999999,4.168,1.44,9.722,6.022,38.587,45.336000000000006,8.815,38.587,30.932,0
700721,2009.0,AMERICAN MEDICAL ALERT CORP,AMAC,alive,13.78,35.829,14.368,1.195,4.103,4.622,8.725,25.089,1.106,4.834,2.89,11.661,6.278,39.457,63.111,7.912000000000001,39.457,30.732,0
700721,2010.0,AMERICAN MEDICAL ALERT CORP,AMAC,alive,13.788,37.517,14.982,2.15,3.79,5.148,8.937999999999999,25.789,1.005,3.744,2.386,13.09,7.497999999999999,40.771,58.7598,7.8610000000000015,40.771,31.833,0
724024,2002.0,AMERICAN PHYSICIANS SVC GP,AMPH.1,alive,11.367,24.981,21.663,0.0,0.188,2.59,2.778,4.729,0.133,5.3,3.411,11.345,2.355,26.392,9.0674,7.4460000000000015,26.392,23.614,0
724024,2003.0,AMERICAN PHYSICIANS SVC GP,AMPH.1,alive,13.493,25.638,24.219,0.0,0.206,3.955,4.1610000000000005,6.23,0.067,4.956,2.799,11.943,2.84,30.449,25.9494,6.532,30.449,26.288,0
724024,2004.0,AMERICAN PHYSICIANS SVC GP,AMPH.1,alive,15.769,30.443,24.792,0.0,0.304,5.287999999999999,5.5920000000000005,7.229,0.0,5.096,2.152,16.029,2.687,32.021,27.2634,6.229,32.021,26.429,0
724024,2005.0,AMERICAN PHYSICIANS SVC GP,AMPH.1,alive,21.663,33.505,26.161,0.0,0.364,4.711,5.075,7.812,0.0,5.783,5.46,19.225,3.833,33.973,36.7488,5.783,33.973,28.898000000000003,0
836102,2004.0,TRANE INC,TT.2,alive,2889.8,6841.8,6768.0,1429.1,171.0,861.3,1032.3,2740.8,1087.2,2346.7,313.4,893.4,1154.5,9508.8,8881.6514,5911.5,9508.8,8476.5,0
836102,2005.0,TRANE INC,TT.2,alive,3066.2,6867.8,7302.2,1676.1,180.4,944.6,1125.0,2962.2,1078.2,2228.9,556.3,1267.0,1161.3,10264.4,8259.3429,5945.3,10264.4,9139.4,0
836102,2006.0,TRANE INC,TT.2,alive,3436.7,7413.1,8046.6,1600.7,199.2,909.1,1108.3,3161.6,1291.9,2568.1,541.0,1547.3,1334.0,11208.2,9165.0482,6489.6,11208.2,10099.9,0
836102,2007.0,TRANE INC,TT.2,alive,3052.4,5097.3,5244.4,687.2,87.5,720.1,807.6,2205.2,697.3,2239.1,286.3,1341.6,1138.5,7449.6,9083.4134,4559.1,7449.6,6642.0,0
766430,2004.0,AMERICAN TECHNICAL CERAMICS,AMK.2,alive,43.515,69.85300000000001,35.594,2.8960000000000004,5.152,2.528,7.68,25.589,22.268,8.615,2.176,44.123000000000005,10.563,61.183,73.8231,15.026,61.183,53.503,0
766430,2005.0,AMERICAN TECHNICAL CERAMICS,AMK.2,alive,48.173,77.872,43.0,5.276,5.382999999999999,6.4670000000000005,11.85,29.965,27.54,9.141,4.268,48.25899999999999,10.008,72.965,85.8803,17.725,72.965,61.115,0
766430,2006.0,AMERICAN TECHNICAL CERAMICS,AMK.2,alive,58.805,90.543,48.827,7.229,6.207000000000001,8.953,15.16,35.304,33.255,12.156,5.988,54.372,12.719,84.131,114.7212,22.476,84.131,68.971,0
766430,2007.0,AMERICAN TECHNICAL CERAMICS,AMK.2,alive,72.45,101.826,52.967,5.183,6.152,13.264,19.416,40.796,39.025,12.155,9.725,64.173,13.948,93.763,215.2463,20.548,93.763,74.347,0
5907,2001.0,AT&T CORP,T.2,alive,22528.0,165282.0,26096.0,45247.0,9338.0,6284.0,15622.0,26454.0,0.0,25427.0,7135.0,-3826.0,9381.0,52550.0,64259.2448,110042.0,52550.0,36928.0,0
5907,2002.0,AT&T CORP,T.2,alive,15903.0,55272.0,19153.0,18812.0,4888.0,5798.0,10686.0,18674.0,0.0,12024.0,-13082.0,-16634.0,5459.0,37827.0,20445.1222,42960.0,37827.0,27141.0,0
5907,2003.0,AT&T CORP,T.2,alive,9848.0,47988.0,18422.0,13066.0,4870.0,3858.0,8728.0,16107.0,0.0,8883.0,1865.0,-14558.0,4036.0,34529.0,16075.7933,34032.0,34529.0,25801.0,0
5907,2004.0,AT&T CORP,T.2,alive,9387.0,32804.0,17528.0,8779.0,3768.0,2734.0,6502.0,13009.0,0.0,9088.0,-6469.0,-20950.0,3195.0,30537.0,15220.7633,25785.0,30537.0,24035.0,0
790730,2007.0,AMERON INTERNATIONAL CORP,AMN.2,alive,473.031,705.812,467.947,57.593,17.034000000000002,48.159,65.193,163.063,97.717,158.692,67.23899999999999,421.055,185.335,631.01,966.7234,260.439,631.01,565.817,0
790730,2008.0,AMERON INTERNATIONAL CORP,AMN.2,alive,456.802,726.322,493.513,35.989000000000004,20.409,55.455,75.86399999999999,174.03,95.645,159.357,58.592,447.49300000000005,181.961,667.543,495.1033,249.202,667.543,591.679,0
790730,2009.0,AMERON INTERNATIONAL CORP,AMN.2,alive,426.404,762.549,379.384,30.933000000000003,22.108,45.476000000000006,67.584,167.56,62.7,138.937,33.3,458.1880000000001,151.21,546.944,524.6016,270.959,546.944,479.36,0
790730,2010.0,AMERON INTERNATIONAL CORP,AMN.2,alive,469.276,781.569,348.796,23.424,26.539,26.173,52.712,154.463,69.381,146.82,46.254,473.962,129.855,503.259,654.8292,273.60200000000003,503.259,450.547,0
741559,2002.0,AMISTAR CORP,AMTA,alive,6.732,10.779000000000002,9.406,0.0,0.545,-1.519,-0.974,1.673,2.496,3.5980000000000003,-1.099,2.616,1.557,11.079,2.2359,3.5980000000000003,11.079,12.053,0
741559,2003.0,AMISTAR CORP,AMTA,alive,6.582999999999999,10.413,9.554,0.0,0.354,-0.336,0.018,2.529,2.366,3.584,-0.349,2.267,1.3090000000000002,12.083,6.9014,3.584,12.083,12.065,0
741559,2004.0,AMISTAR CORP,AMTA,alive,12.469,13.288,9.367,0.0,0.347,-2.664,-2.317,1.515,4.62,5.931,-3.37,-1.103,1.727,10.882,12.1948,9.706,10.882,13.199000000000002,0
741559,2005.0,AMISTAR CORP,AMTA,alive,4.842,5.397,2.6860000000000004,0.0,0.044,-3.373,-3.329,0.732,2.14,2.462,-4.158,-5.261,0.373,3.418,7.1325,5.88,3.418,6.747000000000001,0
778808,2000.0,CROWN ANDERSEN INC,CRAN,alive,12.470999999999998,20.472,16.412,0.825,0.282,-0.369,-0.087,4.047,4.721,6.85,-0.263,8.799,4.84,20.459,7.5859,7.911,20.459,20.546,0
778808,2001.0,CROWN ANDERSEN INC,CRAN,alive,16.205,23.202,22.475,1.162,0.312,1.625,1.937,6.424,7.233,8.452,0.905,9.761,4.726,28.899,11.0373,9.614,28.899,26.962,0
778808,2002.0,CROWN ANDERSEN INC,CRAN,alive,12.970999999999998,19.083,20.439,0.293,0.291,-2.797,-2.506,1.665,6.016,8.015,-2.942,6.928,5.364,22.104,7.4134,8.308,22.104,24.61,0
778808,2003.0,CROWN ANDERSEN INC,CRAN,alive,11.503,15.845999999999998,15.386,0.0,0.2739999999999999,-3.088,-2.814,2.067,6.617000000000001,9.953,-4.685,2.028,3.399,17.453,5.5764,9.953,17.453,20.267,0
317093,2004.0,ANDREW CORP,ANDW,alive,990.923,2240.945,1322.966,284.844,103.47,84.477,187.947,515.783,351.082,378.839,32.985,850.076,416.603,1838.749,1969.0121,718.071,1838.749,1650.802,0
